,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
834,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26225RMFS1,bonds,stock,TQOB
835,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26225RMFS1,bonds,stock,TQOB
836,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26225RMFS1,bonds,stock,TQOB
837,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26225RMFS1,bonds,stock,TQOB
838,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26225RMFS1,bonds,stock,TQOB
839,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26225RMFS1,bonds,stock,TQOB
840,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26225RMFS1,bonds,stock,TQOB
841,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26225RMFS1,bonds,stock,TQOB
842,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,26225RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26225RMFS1,bonds,stock,TQOB
843,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-02-28 00:00:00,2018-02-28 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
844,"Публичное акционерное общество ""Сбербанк России""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2017-12-08 00:00:00,2017-12-08 19:30:00,31.12.2017 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-02-28 00:00:00,2018-02-28 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
845,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
846,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
847,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
848,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
849,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
850,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
851,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
852,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26223RMFS6,bonds,stock,TQOB
853,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26223RMFS6,bonds,stock,TQOB
854,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26223RMFS6,bonds,stock,TQOB
855,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26223RMFS6,bonds,stock,TQOB
856,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26223RMFS6,bonds,stock,TQOB
857,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,26223RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26223RMFS6,bonds,stock,TQOB
858,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""",1-01-10214-A,акции обыкновенные,поддержание цены,2017-12-26 00:00:00,2017-12-26 19:30:00,2019-02-28 00:00:00,T+,,,,,MRKC,shares,stock,TQBR
859,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""","Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""",1-01-00409-A,акции обыкновенные,поддержание цены,2018-03-01 00:00:00,2018-03-01 19:30:00,28.02.2019 с пролонгацией,T+,,,,,RUSI,shares,stock,TQBR
860,"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ЕВРОФИНАНС МОСНАРБАНК"" (акционерное общество)","Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""",1-01-00409-A,акции обыкновенные,поддержание цены,2018-04-16 00:00:00,2018-04-17 19:30:00,31.03.2019 с пролонгацией,T+,,,,,RUSI,shares,stock,TQBR
861,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-03-07 00:00:00,2018-03-07 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
862,"Публичное акционерное общество ""Сбербанк России""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2017-12-08 00:00:00,2017-12-08 19:30:00,31.12.2017 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-03-07 00:00:00,2018-03-07 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
863,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
864,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
865,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
866,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
867,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
868,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
869,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
870,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,2018-04-02 00:00:00,2018-04-04 19:30:00,,,SU26224RMFS4,bonds,stock,TQOB
871,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26224RMFS4,bonds,stock,TQOB
872,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26224RMFS4,bonds,stock,TQOB
873,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26224RMFS4,bonds,stock,TQOB
874,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26224RMFS4,bonds,stock,TQOB
875,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,26224RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26224RMFS4,bonds,stock,TQOB
876,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Общество с ограниченной ответственностью ""Жилкапинвест""",4B02-01-00362-R,биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-01,поддержание цены,2018-03-06 00:00:00,2018-03-06 19:30:00,31.03.2019 с пролонгацией,Режим основных торгов,,,,,RU000A0ZYSS5,bonds,stock,EQOB
877,"Публичное акционерное общество ""Совкомбанк""","Публичное акционерное общество ""Группа Компаний ПИК""",4B02-03-01556-A-001P,Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П03,поддержание цены,2017-07-18 00:00:00,2017-07-18 19:30:00,01.07.2018 с пролонгацией,Режим основных торгов,2018-03-16 00:00:00,2018-03-16 19:30:00,,,RU000A0JXY44,bonds,stock,EQOB
878,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Акционерное общество ""Российский Сельскохозяйственный банк""",4B020403349B001P,неконвертируемые процентные документарные Биржевые облигации на предъявителя серии БО-04Р с обязательным централизованным хранением,поддержание цены,2018-03-20 00:00:00,2018-03-20 19:30:00,09.12.2020 с пролонгацией,Режим основных торгов,,,,,RU000A0ZYJ42,bonds,stock,EQOB
879,"""Газпромбанк"" (Акционерное общество)",Евразийский банк развития,RU000A0JS934,облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 11,поддержание цены,2018-03-30 00:00:00,2018-03-30 19:30:00,30.03.2019 с пролонгацией,Режим основных торгов,,,,,RU000A0JS934,bonds,stock,EQOB
880,Акционерное общество ВТБ Капитал,"Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""",4-02-00307-R-002P,неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением,поддержание цены,2018-03-23 00:00:00,2018-03-23 19:30:00,31.12.2018 с пролонгацией,Режим основных торгов,2018-06-05 00:00:00,2018-06-04 19:30:00,,,RU000A0ZYJT2,bonds,stock,EQOB
881,"Акционерное общество ""ДОМ.РФ""","Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""",4-02-00307-R-002P,неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением,поддержание цены,2018-04-12 00:00:00,2018-04-13 19:30:00,31.12.2019 с пролонгацией,Режим основных торгов,2018-06-05 00:00:00,2018-06-04 19:30:00,,,RU000A0ZYJT2,bonds,stock,EQOB
882,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-04-04 00:00:00,2018-04-04 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
883,"Публичное акционерное общество ""Сбербанк России""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,"поддержание цены, спроса, предложения или объёма",2017-12-08 00:00:00,2017-12-08 19:30:00,31.12.2017 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-04-04 00:00:00,2018-04-04 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
884,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-06 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
885,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-06 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
886,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-07 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
887,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-06 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
888,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-06 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
889,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-07 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
890,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-07 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
891,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-07 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
892,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,2018-06-06 00:00:00,2018-06-06 19:30:00,,,SU52002RMFS1,bonds,stock,TQOB
893,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU52002RMFS1,bonds,stock,TQOB
894,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU52002RMFS1,bonds,stock,TQOB
895,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU52002RMFS1,bonds,stock,TQOB
896,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,52002RMFS,облигации федерального займа с индексируемым номиналом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU52002RMFS1,bonds,stock,TQOB
897,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649825,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на корпоративные еврооблигации российских эмитентов, класс акций в долларах (ITI FUNDS RUSSIA-FOCUSED USD EUROBOND UCITS ETF SICAV)","поддержание спроса, предложения",2018-04-12 00:00:00,2018-04-16 19:30:00,11.04.2019 с пролонгацией,T+,,,,,RUSB,etf,stock,TQTF
898,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649825,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на корпоративные еврооблигации российских эмитентов, класс акций в долларах (ITI FUNDS RUSSIA-FOCUSED USD EUROBOND UCITS ETF SICAV)","поддержание спроса, предложения",2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,RUSB,etf,stock,TQTF
899,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649825,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на корпоративные еврооблигации российских эмитентов, класс акций в долларах (ITI FUNDS RUSSIA-FOCUSED USD EUROBOND UCITS ETF SICAV)","поддержание цены, спроса, предложения или объёма",2018-08-06 00:00:00,2018-08-06 19:30:00,31.12.2018 с пролонгацией,РЕПО с Центральным контрагентом 1 день,,,,,RUSB,etf,stock,TQTF
900,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649825,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на корпоративные еврооблигации российских эмитентов, класс акций в долларах (ITI FUNDS RUSSIA-FOCUSED USD EUROBOND UCITS ETF SICAV)","поддержание цены, спроса, предложения или объёма",2018-08-06 00:00:00,2018-08-06 19:30:00,31.12.2018 с пролонгацией,РЕПО с Центральным контрагентом 1 день (расчеты в долларах США),,,,,RUSB,etf,stock,TQTF
901,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649312,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на индекс РТС российских акций, класс акций в долларах (ITI FUNDS RTS EQUITY UCITS ETF SICAV)","поддержание спроса, предложения",2018-04-12 00:00:00,2018-04-16 19:30:00,11.04.2019 с пролонгацией,T+,,,,,RUSE,etf,stock,TQTF
902,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649312,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на индекс РТС российских акций, класс акций в долларах (ITI FUNDS RTS EQUITY UCITS ETF SICAV)","поддержание спроса, предложения",2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,RUSE,etf,stock,TQTF
903,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649312,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на индекс РТС российских акций, класс акций в долларах (ITI FUNDS RTS EQUITY UCITS ETF SICAV)","поддержание цены, спроса, предложения или объёма",2018-08-06 00:00:00,2018-08-06 19:30:00,31.12.2018 с пролонгацией,РЕПО с Центральным контрагентом 1 день (расчеты в долларах США),,,,,RUSE,etf,stock,TQTF
904,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Биржевые индексные фонды АйТиАй Фандс (Юситс, Сикав) (ITI Funds UCITS ETF SICAV), управляющая компания Фукс Эссет Менеджмент Эс.Эй. (Fuchs Asset Management S.A.)",LU1483649312,"Акции биржевого инвестиционного фонда АйТиАй Фандс Юситс Сикав на индекс РТС российских акций, класс акций в долларах (ITI FUNDS RTS EQUITY UCITS ETF SICAV)","поддержание цены, спроса, предложения или объёма",2018-08-06 00:00:00,2018-08-06 19:30:00,31.12.2018 с пролонгацией,РЕПО с Центральным контрагентом 1 день,,,,,RUSE,etf,stock,TQTF
